City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,San Policarpo,PH,12.1791,125.5072,80.38,86,13,13.13,few clouds
295,Surt,LY,31.2089,16.5887,70.23,42,0,13.73,clear sky
296,Anadyr,RU,64.75,177.4833,-29.0,68,40,11.18,scattered clouds
297,Vao,NC,-22.6667,167.4833,77.95,88,100,19.15,overcast clouds
298,Beni,CD,0.5,29.4667,80.47,50,68,1.77,broken clouds
299,Uribia,CO,11.7139,-72.266,77.45,81,98,10.38,overcast clouds
300,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.27,92,3,7.18,clear sky
301,Pevek,RU,69.7008,170.3133,-21.46,88,42,3.74,scattered clouds
302,Wilmington,US,34.2257,-77.9447,39.2,87,90,11.5,overcast clouds
303,Vallenar,CL,-28.5708,-70.7581,58.19,79,0,1.16,clear sky
304,Boali,CF,4.8005,18.1275,78.8,89,40,5.75,scattered clouds
305,Saint-Georges,GD,12.0564,-61.7485,78.8,83,20,8.05,few clouds
306,Iqaluit,CA,63.7506,-68.5145,5.0,72,90,8.05,light snow
307,Vardo,NO,70.3705,31.1107,21.97,95,86,15.32,overcast clouds
308,Guerrero Negro,MX,27.9769,-114.0611,57.79,82,0,9.75,clear sky
309,Esperance,AU,-33.8667,121.9,95.0,24,87,17.27,overcast clouds
310,Tucumcari,US,35.1717,-103.725,21.2,68,1,3.44,clear sky
311,Vila,PT,42.0304,-8.1588,26.01,83,21,7.45,few clouds
312,Claremore,US,36.3126,-95.6161,28.99,86,1,1.03,clear sky
313,Gat,IL,31.61,34.7642,70.0,47,0,3.0,clear sky
314,Port Lincoln,AU,-34.7333,135.8667,75.69,53,0,12.28,clear sky
315,Irbeyskoye,RU,55.6428,95.4522,1.47,90,100,2.3,overcast clouds
316,Koumac,NC,-20.5667,164.2833,84.24,76,100,2.68,moderate rain
317,Dalbandin,PK,28.8947,64.4101,47.52,40,0,9.86,clear sky
318,Port Augusta,AU,-32.5,137.7667,97.0,24,0,14.97,clear sky
319,Xining,CN,36.6167,101.7667,22.87,69,85,3.76,overcast clouds
320,Jamame,SO,0.0722,42.7506,88.83,44,0,15.32,clear sky
321,Kingsteignton,GB,50.55,-3.5833,34.0,92,96,3.0,overcast clouds
322,Yarensk,RU,62.1675,49.0916,5.4,94,86,5.5,overcast clouds
323,Limbang,MY,4.75,115.0,86.0,74,75,11.5,broken clouds
324,Morris,US,40.8334,-74.5329,28.0,54,1,5.75,clear sky
325,Mae Hong Son,TH,19.3003,97.9685,86.0,51,20,3.44,few clouds
326,Yinchuan,CN,38.4681,106.2731,18.95,50,100,3.4,overcast clouds
