City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Mutoko,ZW,70.75,moderate rain,-17.397000000000002,32.2268,Mutoko Hotel
396,Gizo,SB,84.63,clear sky,-8.103,156.8419,Imagination Island
399,Bongandanga,CD,81.81,overcast clouds,1.5,21.05,
400,Alyangula,AU,89.6,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
403,Lethem,GY,74.21,overcast clouds,3.3803,-59.7968,Savannah Inn
404,Richards Bay,ZA,84.6,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
405,Remanso,BR,77.94,broken clouds,-9.6179,-42.0831,Hotel Mangueira
409,Kieta,PG,81.9,broken clouds,-6.2167,155.6333,
410,Barpathar,IN,73.4,haze,26.3,93.8667,chandan jyoti borah
411,Tukrah,LY,71.47,clear sky,32.5341,20.5791,Lokta restaurant
412,Hambantota,LK,78.8,light rain,6.1241,81.1185,Bungalow 63
415,Alindao,CF,84.9,overcast clouds,5.0267,21.2088,OCHA Alindao
416,Pontalina,BR,71.22,overcast clouds,-17.525,-49.4472,Hotel Entre Rios
417,Mananjary,MG,85.3,scattered clouds,-21.2167,48.3333,Vahiny Lodge
418,Palimbang,PH,82.71,overcast clouds,6.2106,124.1894,Felmar Beach resort
419,Beberibe,BR,80.6,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
423,Namatanai,PG,81.79,overcast clouds,-3.6667,152.4333,Namatanai Hotel
428,Gaborone,BW,77.0,clear sky,-24.6545,25.9086,Gae Guesthouse
429,San Felipe,VE,70.81,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
434,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
435,Alta Floresta,BR,71.26,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
436,Port Keats,AU,88.66,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
439,Carutapera,BR,78.01,scattered clouds,-1.195,-46.02,Lidera
445,Pandan,PH,75.74,light rain,14.0453,124.1694,Bonifacio Lodge
447,Simbahan,PH,82.38,overcast clouds,6.3032,120.5836,
